age_cat,race,sex,c_charge_degree,is_recid,priors_count,time_served,two_year_recid
25 - 45,Caucasian,Male,M,1,0,0,1
25 - 45,African-American,Male,F,1,16,0,1
25 - 45,Hispanic,Male,M,0,3,5,0
25 - 45,African-American,Male,M,0,0,0,0
25 - 45,Caucasian,Female,M,1,2,0,1
25 - 45,Caucasian,Male,F,1,16,1,1
Greater than 45,African-American,Female,F,0,1,0,0
25 - 45,African-American,Male,F,1,0,0,1
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,19,179,1
Less than 25,African-American,Male,F,0,1,0,0
25 - 45,Caucasian,Male,M,0,0,0,0
Greater than 45,African-American,Male,F,1,13,242,1
25 - 45,Hispanic,Male,F,1,2,0,1
25 - 45,African-American,Male,F,1,4,2,1
25 - 45,Other,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,2,0,0
Greater than 45,Caucasian,Male,F,0,2,97,0
25 - 45,African-American,Male,F,1,14,0,1
Less than 25,African-American,Male,M,1,0,0,1
25 - 45,African-American,Male,F,1,8,239,0
25 - 45,Other,Female,F,1,4,1,1
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Female,F,1,2,8,1
Greater than 45,Caucasian,Male,F,1,2,2,1
Greater than 45,Caucasian,Male,M,0,0,4,0
Less than 25,African-American,Male,F,1,2,1,1
Greater than 45,African-American,Female,F,1,2,1,1
25 - 45,African-American,Male,M,1,0,0,1
25 - 45,Caucasian,Male,F,0,0,1,0
Less than 25,African-American,Female,F,1,0,0,1
Less than 25,Caucasian,Male,F,0,1,0,0
Less than 25,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,5,1,1
25 - 45,African-American,Male,F,1,4,0,1
Greater than 45,Caucasian,Male,F,1,9,424,1
25 - 45,African-American,Female,M,0,3,1,0
25 - 45,African-American,Male,F,0,13,1,0
25 - 45,African-American,Male,F,0,2,0,0
Less than 25,Caucasian,Male,F,1,0,0,1
25 - 45,African-American,Male,M,1,22,1,1
25 - 45,African-American,Male,M,1,1,3,1
Greater than 45,Caucasian,Male,M,1,4,1,1
25 - 45,Caucasian,Male,F,0,2,3,0
Greater than 45,African-American,Male,M,0,0,0,0
Greater than 45,Caucasian,Male,F,0,0,2,0
25 - 45,Caucasian,Male,F,1,2,0,1
25 - 45,Caucasian,Female,F,1,0,31,1
25 - 45,Caucasian,Female,F,1,1,9,0
25 - 45,African-American,Male,F,1,0,0,1
Less than 25,African-American,Male,F,1,3,1,1
25 - 45,African-American,Male,M,1,0,0,1
25 - 45,African-American,Male,M,1,4,9,1
Greater than 45,Caucasian,Male,F,0,2,0,0
25 - 45,Caucasian,Male,F,1,1,3,1
25 - 45,Other,Male,F,0,2,28,0
Less than 25,Hispanic,Male,M,0,0,1,0
25 - 45,Caucasian,Male,M,0,2,1,0
25 - 45,Hispanic,Female,F,0,0,0,0
Greater than 45,Hispanic,Male,F,0,18,1,0
Greater than 45,Hispanic,Male,M,0,0,5,0
25 - 45,Other,Male,F,1,6,17,1
Less than 25,African-American,Male,F,1,1,15,1
Greater than 45,Caucasian,Male,M,0,0,0,0
Less than 25,Caucasian,Male,F,1,1,0,1
Less than 25,African-American,Female,F,0,1,0,0
Greater than 45,Caucasian,Male,F,1,9,58,1
25 - 45,Caucasian,Male,M,1,0,0,1
25 - 45,Caucasian,Male,F,0,2,1,0
Greater than 45,Caucasian,Male,F,0,3,13,0
Greater than 45,Caucasian,Male,M,1,6,18,1
Less than 25,African-American,Male,F,0,1,1,0
Greater than 45,Caucasian,Male,F,0,2,1,0
25 - 45,Caucasian,Male,F,1,1,0,1
25 - 45,African-American,Male,F,0,5,34,0
25 - 45,Caucasian,Female,M,1,1,6,1
25 - 45,African-American,Male,F,1,0,2,1
25 - 45,African-American,Male,M,0,4,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,5,119,1
Less than 25,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Female,M,0,0,0,0
Less than 25,African-American,Male,M,0,1,0,0
Greater than 45,Caucasian,Male,M,0,1,1,0
Less than 25,African-American,Female,F,1,0,1,1
25 - 45,Caucasian,Male,F,0,6,0,0
25 - 45,African-American,Male,F,1,29,5,1
Less than 25,Caucasian,Male,F,0,1,0,0
Less than 25,African-American,Female,F,1,0,2,1
25 - 45,African-American,Male,F,1,11,0,1
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,Other,Male,F,0,0,0,0
25 - 45,African-American,Female,F,0,4,3,0
Greater than 45,Caucasian,Male,M,0,0,1,0
Less than 25,Caucasian,Male,F,0,1,236,0
25 - 45,Caucasian,Male,F,0,2,22,0
25 - 45,Caucasian,Male,F,1,6,2,1
25 - 45,Caucasian,Male,M,1,3,11,1
Greater than 45,Caucasian,Male,F,1,5,1,1
Greater than 45,Other,Male,F,0,0,27,0
25 - 45,African-American,Male,F,1,2,28,1
Greater than 45,African-American,Male,F,0,10,175,0
Less than 25,African-American,Male,M,0,0,3,0
Less than 25,Caucasian,Male,F,1,2,15,1
Greater than 45,Asian,Male,M,0,1,1,0
Less than 25,Other,Male,F,0,0,2,0
25 - 45,African-American,Male,M,1,0,1,1
Greater than 45,Caucasian,Male,F,0,2,0,0
25 - 45,Caucasian,Male,M,1,4,82,1
Greater than 45,Caucasian,Male,F,0,3,14,0
Less than 25,African-American,Male,F,1,3,1,1
Greater than 45,African-American,Male,F,0,13,0,0
Greater than 45,Caucasian,Male,F,0,2,5,0
25 - 45,African-American,Male,F,0,6,0,0
Less than 25,African-American,Male,M,0,1,0,0
Less than 25,African-American,Female,F,1,0,0,1
25 - 45,Caucasian,Male,F,1,17,1,1
25 - 45,Other,Male,F,1,0,83,1
Greater than 45,Caucasian,Male,F,0,6,1,0
25 - 45,Caucasian,Female,M,0,0,0,0
Greater than 45,African-American,Male,F,0,19,3,0
Greater than 45,Caucasian,Male,M,0,12,3,0
25 - 45,African-American,Male,M,1,6,0,1
25 - 45,African-American,Male,M,1,0,0,1
Greater than 45,African-American,Male,F,0,11,0,0
25 - 45,Caucasian,Male,F,0,0,0,0
Greater than 45,Other,Male,F,0,7,0,0
25 - 45,African-American,Male,F,1,12,12,1
25 - 45,Caucasian,Female,F,0,0,0,0
25 - 45,African-American,Male,M,1,1,1,1
25 - 45,Caucasian,Female,M,0,3,10,0
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,4,40,0
25 - 45,African-American,Male,F,1,4,50,1
25 - 45,Caucasian,Male,F,1,7,0,1
25 - 45,African-American,Male,M,1,15,4,1
Less than 25,African-American,Male,M,1,1,0,1
25 - 45,Caucasian,Male,F,1,2,0,1
25 - 45,Caucasian,Male,F,1,0,1,1
25 - 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,4,1,0
25 - 45,African-American,Male,F,0,7,4,0
Less than 25,Caucasian,Female,F,0,0,1,0
25 - 45,African-American,Male,F,1,0,0,1
Less than 25,Caucasian,Male,F,0,0,0,0
Less than 25,Caucasian,Female,F,0,0,0,0
Greater than 45,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,M,1,0,0,1
Greater than 45,African-American,Male,M,1,1,1,1
25 - 45,Caucasian,Female,F,0,3,1,0
25 - 45,African-American,Male,F,1,3,0,1
25 - 45,African-American,Male,F,1,11,1,1
Less than 25,Caucasian,Female,F,0,2,0,0
25 - 45,African-American,Male,F,0,7,0,0
25 - 45,African-American,Male,M,0,0,2,0
Greater than 45,African-American,Male,M,0,3,0,0
Greater than 45,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,M,1,10,1,1
Greater than 45,Caucasian,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,0,1,0
Greater than 45,African-American,Male,F,1,5,3,1
25 - 45,African-American,Male,M,0,0,0,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,African-American,Female,M,0,0,1,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,F,0,0,53,0
25 - 45,African-American,Male,M,0,0,2,0
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,African-American,Male,M,0,1,0,0
25 - 45,Caucasian,Male,M,0,4,0,0
25 - 45,African-American,Male,F,0,15,104,0
25 - 45,African-American,Male,F,1,6,0,1
25 - 45,African-American,Male,F,0,6,41,0
25 - 45,Caucasian,Female,F,0,2,1,0
25 - 45,African-American,Female,F,0,1,8,0
25 - 45,Caucasian,Male,M,1,5,6,1
Less than 25,Caucasian,Male,M,1,1,1,1
Less than 25,Caucasian,Male,F,1,8,35,1
25 - 45,African-American,Male,M,1,8,0,1
Greater than 45,African-American,Female,F,0,1,2,0
25 - 45,Caucasian,Male,F,1,2,0,1
Greater than 45,African-American,Male,M,0,0,1,0
Less than 25,African-American,Male,F,0,4,3,0
25 - 45,Caucasian,Male,M,0,5,2,0
25 - 45,Caucasian,Male,F,1,6,118,1
25 - 45,African-American,Male,M,0,0,0,0
Less than 25,Caucasian,Female,M,0,2,0,0
25 - 45,African-American,Male,F,1,3,7,1
Greater than 45,Caucasian,Female,F,1,1,25,0
25 - 45,African-American,Female,F,0,1,26,0
Greater than 45,Caucasian,Male,F,0,7,1,0
25 - 45,African-American,Male,M,0,1,7,0
Less than 25,Caucasian,Female,M,1,3,0,1
Less than 25,African-American,Male,F,1,2,2,1
Greater than 45,Caucasian,Male,F,0,3,0,0
25 - 45,Hispanic,Male,F,0,0,0,0
Greater than 45,Caucasian,Female,F,0,1,3,0
25 - 45,Hispanic,Male,M,1,4,1,1
25 - 45,African-American,Male,M,1,1,7,0
Greater than 45,African-American,Male,F,1,15,80,1
Greater than 45,Hispanic,Male,F,0,1,17,0
25 - 45,African-American,Male,M,1,0,749,1
25 - 45,African-American,Male,F,0,1,0,0
Less than 25,African-American,Male,F,1,1,5,1
Greater than 45,African-American,Male,M,0,0,1,0
Less than 25,Other,Female,F,0,0,1,0
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,M,0,2,28,0
Less than 25,Other,Male,F,1,0,3,1
Greater than 45,Other,Male,M,0,2,0,0
Less than 25,Hispanic,Male,F,0,1,10,0
25 - 45,Caucasian,Female,M,1,0,0,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Male,M,1,5,0,1
Greater than 45,Other,Female,M,0,0,0,0
Greater than 45,African-American,Male,F,0,1,5,0
25 - 45,Asian,Male,M,0,0,0,0
25 - 45,Hispanic,Male,F,0,2,1,0
Greater than 45,African-American,Male,F,0,3,3,0
Greater than 45,African-American,Male,F,0,0,0,0
25 - 45,Caucasian,Male,M,0,2,21,0
Greater than 45,Caucasian,Female,M,0,0,29,0
25 - 45,Hispanic,Male,F,1,3,0,1
25 - 45,African-American,Male,M,1,17,51,1
25 - 45,Caucasian,Male,F,0,3,1,0
25 - 45,Caucasian,Male,F,1,2,9,1
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,African-American,Male,F,0,5,0,0
25 - 45,African-American,Male,M,1,9,23,1
Greater than 45,Caucasian,Male,M,0,1,1,0
25 - 45,Caucasian,Male,F,1,1,33,1
25 - 45,African-American,Female,F,0,0,1,0
Greater than 45,Caucasian,Female,M,1,0,7,1
25 - 45,African-American,Female,F,0,0,0,0
25 - 45,Caucasian,Male,F,0,1,0,0
25 - 45,Hispanic,Male,F,1,16,29,1
25 - 45,African-American,Female,F,0,0,0,0
25 - 45,African-American,Male,M,0,0,1,0
25 - 45,Caucasian,Male,F,0,5,0,0
Less than 25,Hispanic,Male,F,1,1,2,1
Less than 25,African-American,Male,F,0,0,1,0
25 - 45,Caucasian,Female,F,1,0,62,1
Less than 25,African-American,Male,F,1,7,199,1
25 - 45,Caucasian,Male,M,0,0,19,0
25 - 45,Caucasian,Female,F,1,5,41,1
Greater than 45,African-American,Male,M,0,3,14,0
25 - 45,African-American,Female,M,0,0,1,0
25 - 45,African-American,Male,M,1,1,0,1
25 - 45,Caucasian,Female,F,0,6,24,0
Less than 25,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,1,0,1
Less than 25,African-American,Male,M,0,0,1,0
25 - 45,Hispanic,Female,M,0,2,3,0
25 - 45,African-American,Male,F,1,9,0,1
25 - 45,African-American,Male,F,1,9,1,1
Less than 25,Caucasian,Male,F,1,0,1,1
25 - 45,African-American,Male,F,1,9,1,1
25 - 45,Caucasian,Male,F,1,9,19,1
Less than 25,African-American,Male,M,1,2,7,1
25 - 45,African-American,Male,F,1,21,0,1
25 - 45,Caucasian,Male,F,1,3,0,1
Greater than 45,Caucasian,Male,M,1,2,0,1
Less than 25,Hispanic,Male,F,0,2,35,0
Less than 25,Caucasian,Male,M,1,3,26,1
Greater than 45,African-American,Female,F,0,5,0,0
25 - 45,Caucasian,Female,M,0,2,0,0
Greater than 45,African-American,Male,F,1,0,1,1
25 - 45,African-American,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,5,55,1
Greater than 45,African-American,Male,F,0,14,7,0
25 - 45,African-American,Male,M,1,2,15,1
Greater than 45,African-American,Male,M,1,11,32,1
25 - 45,Other,Male,M,0,0,2,0
Less than 25,African-American,Male,F,0,0,3,0
Less than 25,African-American,Male,F,1,2,86,1
25 - 45,African-American,Female,F,0,0,1,0
Greater than 45,African-American,Male,M,0,0,0,0
Greater than 45,Caucasian,Female,F,1,8,30,1
25 - 45,Hispanic,Male,F,1,3,9,1
Greater than 45,African-American,Male,F,1,3,2,1
25 - 45,Caucasian,Male,F,0,0,1,0
Less than 25,African-American,Male,F,0,1,33,0
25 - 45,Hispanic,Female,F,1,0,1,1
Greater than 45,African-American,Male,F,1,8,11,1
25 - 45,African-American,Male,M,1,6,0,1
25 - 45,African-American,Male,F,1,10,1,1
25 - 45,African-American,Male,F,1,12,0,1
25 - 45,African-American,Male,F,1,4,45,1
25 - 45,African-American,Male,M,1,7,8,1
25 - 45,African-American,Male,M,1,1,29,1
Greater than 45,African-American,Male,F,0,2,0,0
25 - 45,Caucasian,Male,F,1,2,0,1
Less than 25,Caucasian,Male,F,0,1,0,0
25 - 45,African-American,Male,F,0,3,0,0
25 - 45,African-American,Male,F,1,13,0,1
25 - 45,African-American,Male,F,1,2,125,0
Greater than 45,Caucasian,Male,M,1,0,0,1
Less than 25,African-American,Male,F,1,6,0,1
25 - 45,Hispanic,Male,F,1,2,1,1
Less than 25,Hispanic,Female,M,0,0,0,0
25 - 45,Caucasian,Female,F,1,6,67,1
Less than 25,African-American,Male,M,1,2,49,1
Greater than 45,African-American,Male,F,1,12,1,1
Less than 25,African-American,Male,M,1,1,1,1
Greater than 45,African-American,Male,F,0,1,49,0
Greater than 45,Caucasian,Male,F,0,6,0,0
25 - 45,Caucasian,Female,M,0,0,1,0
25 - 45,Caucasian,Male,F,0,5,0,0
25 - 45,African-American,Male,F,1,0,1,1
Greater than 45,Caucasian,Male,F,0,1,0,0
25 - 45,African-American,Female,M,0,2,2,0
25 - 45,African-American,Male,F,1,0,1,1
Less than 25,Other,Male,F,0,4,2,0
Greater than 45,African-American,Male,F,1,9,64,0
Less than 25,African-American,Male,M,1,9,3,1
Less than 25,African-American,Female,F,0,2,2,0
Greater than 45,Hispanic,Male,M,0,1,0,0
25 - 45,African-American,Female,F,0,2,0,0
25 - 45,Other,Male,M,1,5,5,1
25 - 45,Caucasian,Female,M,1,22,26,1
Greater than 45,African-American,Male,M,0,0,0,0
Less than 25,Other,Female,F,1,2,1,1
25 - 45,Caucasian,Female,F,0,3,0,0
25 - 45,Caucasian,Female,F,1,1,13,1
25 - 45,Hispanic,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,5,54,1
25 - 45,African-American,Male,F,0,4,1,0
Less than 25,African-American,Male,M,1,1,2,1
25 - 45,Caucasian,Male,F,0,5,0,0
25 - 45,Caucasian,Male,M,1,0,0,1
Less than 25,African-American,Male,F,0,0,3,0
25 - 45,Caucasian,Male,M,1,4,7,1
Greater than 45,African-American,Male,M,1,11,79,1
25 - 45,African-American,Male,F,0,1,1,0
25 - 45,African-American,Male,F,1,12,0,1
25 - 45,African-American,Male,F,1,13,1,1
25 - 45,Hispanic,Female,M,0,0,0,0
Greater than 45,African-American,Male,M,1,15,14,1
Less than 25,African-American,Male,F,1,3,0,1
25 - 45,African-American,Male,F,0,15,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,12,34,0
Greater than 45,African-American,Female,F,0,1,0,0
Less than 25,Other,Male,F,1,0,0,1
Less than 25,African-American,Female,F,1,0,0,1
Greater than 45,Caucasian,Male,F,1,28,33,1
25 - 45,African-American,Male,F,1,7,0,1
Greater than 45,Caucasian,Male,F,1,4,0,1
25 - 45,Hispanic,Female,F,1,4,5,1
25 - 45,African-American,Male,F,1,16,8,1
Less than 25,African-American,Female,M,1,0,1,0
25 - 45,African-American,Male,F,1,5,0,1
Greater than 45,Caucasian,Male,F,0,13,6,0
Greater than 45,Caucasian,Female,F,0,0,0,0
Greater than 45,African-American,Male,F,0,0,6,0
25 - 45,African-American,Female,M,0,0,1,0
Greater than 45,Caucasian,Female,M,0,0,1,0
25 - 45,African-American,Male,F,1,1,0,1
Less than 25,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Female,M,1,0,0,1
25 - 45,Caucasian,Male,M,0,1,35,0
25 - 45,Asian,Male,F,0,0,0,0
Less than 25,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,M,1,7,0,1
Less than 25,Caucasian,Female,F,0,0,0,0
Greater than 45,African-American,Female,F,0,0,0,0
25 - 45,African-American,Male,M,1,8,0,1
25 - 45,Hispanic,Male,F,1,1,0,1
25 - 45,Caucasian,Male,F,0,5,0,0
25 - 45,African-American,Female,F,0,5,0,0
25 - 45,African-American,Male,M,1,1,99,1
25 - 45,Caucasian,Male,F,0,1,1,0
25 - 45,Caucasian,Male,F,0,2,1,0
25 - 45,African-American,Female,F,0,1,1,0
25 - 45,Caucasian,Female,F,1,11,1,1
Less than 25,African-American,Male,F,1,3,1,1
25 - 45,Caucasian,Male,F,0,0,1,0
Greater than 45,Caucasian,Male,F,1,1,0,1
25 - 45,Hispanic,Female,M,0,0,1,0
Less than 25,African-American,Female,M,0,0,1,0
25 - 45,African-American,Male,F,1,6,0,1
Less than 25,Other,Male,F,1,0,1,1
Less than 25,African-American,Male,M,1,1,6,1
Less than 25,Hispanic,Female,M,0,2,1,0
25 - 45,African-American,Female,F,0,5,186,0
Less than 25,Caucasian,Male,F,1,1,0,1
Greater than 45,Caucasian,Male,M,0,3,2,0
25 - 45,Caucasian,Male,F,1,4,2,1
25 - 45,Other,Male,F,0,2,0,0
25 - 45,Hispanic,Male,F,0,2,3,0
Less than 25,Hispanic,Male,F,1,2,58,1
Less than 25,African-American,Male,F,1,1,1,1
Greater than 45,African-American,Male,M,1,0,1,1
Greater than 45,African-American,Male,F,1,12,1,1
25 - 45,Caucasian,Male,M,0,1,1,0
Greater than 45,Caucasian,Female,M,1,8,23,1
25 - 45,African-American,Female,F,0,0,0,0
Greater than 45,Caucasian,Male,F,1,1,4,1
Greater than 45,African-American,Female,F,0,6,1,0
25 - 45,Caucasian,Male,M,1,4,26,1
25 - 45,Caucasian,Male,F,1,0,0,0
25 - 45,African-American,Male,F,1,9,84,1
Greater than 45,Caucasian,Male,F,0,2,6,0
Greater than 45,African-American,Male,F,1,12,0,1
25 - 45,Caucasian,Male,F,0,1,0,0
25 - 45,Other,Male,F,1,0,20,1
25 - 45,African-American,Female,F,1,2,0,1
25 - 45,Caucasian,Male,F,1,1,0,0
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,0,1,0,0
25 - 45,African-American,Male,F,1,3,0,1
Greater than 45,Caucasian,Female,F,1,6,10,1
Less than 25,African-American,Male,F,1,1,456,1
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,African-American,Female,F,1,1,0,1
Greater than 45,African-American,Female,F,0,0,0,0
Greater than 45,Caucasian,Female,M,0,0,0,0
Greater than 45,African-American,Male,M,0,0,1,0
Less than 25,African-American,Male,M,0,0,3,0
25 - 45,African-American,Male,F,0,0,1,0
Greater than 45,African-American,Male,F,1,0,2,1
25 - 45,African-American,Male,F,1,10,0,1
25 - 45,Hispanic,Male,F,1,1,0,1
Greater than 45,African-American,Male,F,0,1,0,0
25 - 45,African-American,Male,F,1,2,2,1
Less than 25,African-American,Female,F,0,0,0,0
25 - 45,African-American,Male,F,0,0,3,0
25 - 45,Caucasian,Male,F,1,5,55,1
Greater than 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,F,1,2,8,0
Less than 25,Caucasian,Male,M,0,1,0,0
Greater than 45,Other,Female,F,0,0,3,0
25 - 45,Caucasian,Male,M,1,1,0,1
25 - 45,Hispanic,Male,F,1,0,0,1
Greater than 45,Hispanic,Male,F,1,2,3,1
25 - 45,African-American,Male,F,0,0,2,0
25 - 45,Caucasian,Female,M,1,1,0,1
25 - 45,African-American,Male,F,1,0,1,1
25 - 45,African-American,Male,M,1,21,6,1
Less than 25,Caucasian,Male,M,0,0,0,0
25 - 45,Caucasian,Female,M,0,0,1,0
Less than 25,African-American,Male,F,1,1,0,1
Greater than 45,African-American,Male,F,0,3,0,0
Less than 25,African-American,Male,F,1,2,129,1
25 - 45,Caucasian,Male,F,0,2,1,0
25 - 45,African-American,Female,F,0,3,29,0
25 - 45,African-American,Male,M,1,0,0,1
25 - 45,Caucasian,Male,M,1,3,1,1
Less than 25,African-American,Male,M,1,0,1,1
25 - 45,African-American,Female,M,0,3,2,0
25 - 45,Caucasian,Female,F,0,4,29,0
Less than 25,African-American,Male,F,1,1,6,1
25 - 45,African-American,Female,F,0,1,0,0
25 - 45,African-American,Female,F,1,15,65,1
25 - 45,African-American,Male,F,1,0,0,1
Less than 25,African-American,Male,F,0,0,3,0
25 - 45,Caucasian,Male,F,1,2,1,1
Less than 25,Caucasian,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,African-American,Male,F,0,1,1,0
Less than 25,African-American,Female,F,0,3,0,0
Less than 25,African-American,Female,F,0,1,0,0
25 - 45,African-American,Male,M,1,0,1,1
25 - 45,Caucasian,Male,M,1,2,11,1
Less than 25,Caucasian,Female,F,1,0,1,1
Less than 25,African-American,Male,F,1,1,0,1
25 - 45,Other,Female,M,1,4,1,1
25 - 45,African-American,Male,M,1,3,205,1
Less than 25,African-American,Female,M,1,3,2,1
25 - 45,African-American,Male,M,0,0,34,0
25 - 45,Caucasian,Male,F,1,1,18,1
25 - 45,Caucasian,Male,F,1,10,1,1
25 - 45,Caucasian,Male,F,0,0,0,0
Greater than 45,Caucasian,Male,M,0,1,1,0
25 - 45,African-American,Male,F,1,7,20,1
25 - 45,Caucasian,Male,F,0,0,5,0
25 - 45,Caucasian,Male,M,0,0,3,0
25 - 45,African-American,Male,F,0,5,9,0
Less than 25,African-American,Male,F,0,0,3,0
25 - 45,Caucasian,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,12,1,1
25 - 45,Caucasian,Female,M,0,4,1,0
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,African-American,Male,F,0,4,7,0
25 - 45,Caucasian,Male,F,0,1,28,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,1,18,197,1
25 - 45,African-American,Male,F,1,2,2,0
25 - 45,Other,Male,F,0,0,108,0
25 - 45,African-American,Female,M,0,0,44,0
25 - 45,Caucasian,Female,F,0,1,8,0
25 - 45,African-American,Male,F,1,2,9,1
25 - 45,African-American,Female,M,0,0,0,0
25 - 45,Caucasian,Male,M,0,3,0,0
25 - 45,Hispanic,Female,F,0,0,25,0
25 - 45,African-American,Female,M,0,0,2,0
25 - 45,Caucasian,Female,M,0,0,0,0
Less than 25,Caucasian,Male,F,1,1,15,1
Less than 25,African-American,Male,F,0,0,1,0
Greater than 45,Hispanic,Female,M,0,0,0,0
Less than 25,African-American,Male,M,1,2,0,1
Greater than 45,African-American,Male,F,1,0,1,1
25 - 45,African-American,Female,F,1,1,6,1
Less than 25,African-American,Male,M,0,1,1,0
25 - 45,African-American,Male,M,1,3,80,1
Less than 25,African-American,Male,F,1,5,4,1
Less than 25,Other,Male,M,0,0,0,0
Less than 25,Caucasian,Female,M,0,0,0,0
25 - 45,Caucasian,Male,F,1,2,2,1
Less than 25,Hispanic,Female,M,0,0,0,0
Less than 25,African-American,Female,M,1,0,1,1
25 - 45,Caucasian,Male,F,1,0,5,1
25 - 45,Caucasian,Female,M,1,0,0,1
25 - 45,African-American,Male,F,1,12,9,1
25 - 45,African-American,Male,F,0,2,258,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,1,8,2,1
25 - 45,Caucasian,Female,F,0,0,0,0
Greater than 45,African-American,Male,F,0,4,1,0
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,Hispanic,Male,M,0,2,29,0
25 - 45,African-American,Male,F,1,9,1,1
Greater than 45,Caucasian,Male,F,0,0,0,0
Less than 25,African-American,Male,M,0,1,1,0
25 - 45,African-American,Female,F,0,1,2,0
Greater than 45,Caucasian,Male,M,0,1,4,0
Less than 25,Hispanic,Male,F,1,2,91,0
Greater than 45,African-American,Female,M,1,21,21,1
25 - 45,Other,Male,M,0,0,0,0
25 - 45,Hispanic,Male,F,0,0,0,0
Greater than 45,African-American,Male,F,0,12,241,0
Greater than 45,African-American,Male,F,0,3,1,0
25 - 45,Caucasian,Female,M,0,2,0,0
25 - 45,Caucasian,Male,F,1,13,5,1
Less than 25,African-American,Male,F,1,0,0,1
Less than 25,Caucasian,Male,F,0,3,9,0
Less than 25,African-American,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,0,1,1,0
25 - 45,Caucasian,Female,M,0,1,1,0
Greater than 45,African-American,Male,F,1,5,597,1
25 - 45,Caucasian,Male,F,1,2,5,1
Less than 25,African-American,Male,F,1,0,149,1
25 - 45,Other,Male,F,0,0,1,0
25 - 45,African-American,Male,F,0,0,1,0
Less than 25,African-American,Male,F,1,1,103,1
Less than 25,African-American,Male,F,1,3,44,1
Less than 25,Caucasian,Male,F,0,1,2,0
Greater than 45,Other,Male,M,0,0,0,0
Less than 25,African-American,Male,F,0,2,1,0
25 - 45,African-American,Female,M,0,0,1,0
Greater than 45,Caucasian,Female,M,1,0,1,1
25 - 45,Hispanic,Male,M,1,2,1,1
25 - 45,African-American,Male,F,0,1,0,0
Greater than 45,Hispanic,Male,F,0,13,141,0
Greater than 45,African-American,Male,F,1,22,33,1
25 - 45,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,F,0,2,1,0
Less than 25,Caucasian,Female,F,1,3,2,1
25 - 45,Hispanic,Male,F,0,1,2,0
Less than 25,Caucasian,Male,F,1,0,1,1
25 - 45,Caucasian,Female,F,1,2,0,1
25 - 45,African-American,Male,F,1,8,1,1
Less than 25,African-American,Male,M,1,0,0,1
25 - 45,African-American,Female,F,0,4,2,0
25 - 45,Caucasian,Male,F,1,0,0,1
25 - 45,Caucasian,Male,F,1,7,0,1
25 - 45,Other,Male,F,1,0,54,1
25 - 45,Caucasian,Male,F,1,1,1,1
25 - 45,African-American,Female,M,0,0,0,0
Greater than 45,Caucasian,Male,M,0,3,0,0
Less than 25,Caucasian,Male,F,1,0,6,1
25 - 45,African-American,Male,F,1,5,2,0
25 - 45,African-American,Male,F,0,0,40,0
25 - 45,African-American,Male,M,1,6,1,1
Less than 25,African-American,Female,M,0,1,0,0
25 - 45,Caucasian,Male,F,0,11,141,0
